t	0000ul_dec	0000ul_irf	0000ul_fit	0000ul_res	0250ul_dec	0250ul_irf	0250ul_fit	0250ul_res	0500ul_dec	0500ul_irf	0500ul_fit	0500ul_res	0750ul_dec	0750ul_irf	0750ul_fit	0750ul_res	1000ul_dec	1000ul_irf	1000ul_fit	1000ul_res
21.893	9443	809.649	10030	5.96788	9160	809.649	9850.01	7.07942	9262	809.649	9678.83	4.30278	9195	786.796	9807.51	6.29279	9031	797.999	9624.29	6.13187
21.948	9860	688.287	10019.6	1.62045	9577	688.287	9831.53	2.61221	9492	688.287	9652.89	1.66026	9743	654.383	9768.41	0.26124	9319	671.847	9565.61	2.55921
22.003	9775	526	9995.83	2.23868	9583	526	9799	2.21588	9287	526	9612.49	3.36399	9319	510.756	9719.73	4.12416	9165	517.263	9493.51	3.41202
22.058	9601	495.963	9984.7	3.89165	9152	495.963	9781.56	6.46778	9096	495.963	9588.82	5.10673	9154	490.074	9687.76	5.50148	9148	493.467	9442.84	3.07485
22.112	9657	442.619	9968.14	3.15712	9664	442.619	9758.31	0.96865	9445	442.619	9559.12	1.18446	9479	428.713	9646.65	1.73106	9249	435.641	9383.41	1.40491
22.167	9866	380.662	9947.25	0.82433	9573	380.662	9730.65	1.6165	9415	380.662	9524.96	1.142	9555	372.404	9603.29	0.49868	9089	376.336	9320.72	2.42449
22.222	9651	348.266	9927.82	2.80613	9381	348.266	9705.02	3.32511	9103	348.266	9493.24	4.05283	9208	342.218	9562.2	3.66749	9182	345.268	9261.52	0.83404
22.277	9881	325.033	9908.16	0.27623	9566	325.033	9679.37	1.16565	9214	325.033	9461.66	2.57845	9330	325.139	9522.25	1.99575	9002	324.874	9203.4	2.11973
22.332	9677	318.157	9889.94	2.16842	9664	318.157	9655.5	-0.08738	9229	318.157	9432.1	2.11651	9435	307.01	9481.35	0.48192	9189	313.168	9146.55	-0.44795
22.387	9477	244.119	9860.43	3.9078	9440	244.119	9619.18	1.84554	9157	244.119	9389.36	2.42789	9181	232.944	9428.46	2.5812	8869	238.064	9074.97	2.18113
22.442	10001	222	9835.38	-1.69211	9440	222	9588.32	1.53173	9497	222	9352.75	-1.51216	9286	226.232	9385.13	1.03734	8911	223.899	9013.49	1.08965
22.497	9182	232.881	9814.59	6.47806	9251	232.881	9562.34	3.2184	8873	232.881	9321.47	4.70499	8890	223.515	9342.48	4.73989	8610	228.853	8956.04	3.69424
22.551	9398	172.821	9782.88	3.94795	9228	172.821	9524.23	3.06759	8943	172.821	9277.26	3.51068	8906	169.081	9289.57	4.02703	8728	170.282	8884.82	1.67699
