t	chcl3dec	irf	chcl3fit	chcl3res	etohdec	etohfit	etohres	h2odec	h2ofit	h2ores	iprohdec	iprohfit	iprohres
5.59671	2	0	0.78589	-0.94045	2	0.76505	-1.23495	1	0.56732	-0.43268	1	0.68894	-0.31106
5.65158	2	0.60083	0.84099	-0.89777	2	0.78472	-1.15292	1	0.54976	-0.45024	0	0.67842	0.67842
5.70645	2	0.59917	0.86143	-0.88193	0	0.81582	0.77396	0	0.59233	0.59233	0	0.75709	0.75709
5.76132	2	0	0.81487	-0.95022	0	0.79346	0.75274	0	0.60249	0.60249	2	0.71227	-1.28773
5.81619	1	0.01584	0.80432	-0.1569	3	0.78195	-2.10423	0	0.57794	0.57794	0	0.7014	0.7014
5.87106	1	0.05913	0.79786	-0.14708	2	0.77222	-1.22778	1	0.56132	-0.43868	0	0.69069	0.69069
5.92593	1	0	0.78249	-0.14591	0	0.75901	0.75901	0	0.54964	0.54964	0	0.68015	0.68015
5.9808	2	1.20031	0.90447	-0.7349	0	0.81086	0.76924	0	0.53221	0.53221	1	0.66977	-0.33023
6.03567	1	1.20114	0.9575	-0.02782	1	0.88564	-0.10849	1	0.6343	-0.3657	2	0.83758	-1.16242
6.09054	5	0	0.87578	-2.52556	0	0.85307	0.85307	2	0.67143	-1.32857	0	0.75828	0.75828
6.14541	5	0.06829	0.87016	-2.47791	2	0.84416	-1.15584	0	0.63832	0.63832	0	0.74671	0.74671
6.20027	2	0	0.85318	-0.66212	2	0.82946	-1.17054	1	0.62385	-0.37615	0	0.73531	0.73531
6.25514	3	0.0049	0.84083	-1.2466	0	0.81627	0.81627	0	0.60429	0.60429	1	0.72408	-0.27592
6.31001	4	0	0.82784	-1.83144	0	0.80287	0.80287	0	0.58646	0.58646	0	0.71303	0.71303
6.36488	2	3.5E-4	0.81537	-0.69698	2	0.78979	-1.21021	0	0.56877	0.56877	0	0.70214	0.70214
6.41975	3	0	0.80302	-1.40519	0	0.77688	0.77688	0	0.55169	0.55169	0	0.69142	0.69142
6.47462	2	3E-5	0.79089	-0.75635	0	0.76419	0.76419	1	0.5351	-0.4649	1	0.68087	-0.31913
6.52949	1	0	0.77893	-0.14472	0	0.75171	0.75171	1	0.51901	-0.48099	0	0.67047	0.67047
6.58436	4	0	0.76716	-2.28596	1	0.73943	-0.26057	1	0.5034	-0.4966	0	0.66024	0.66024
6.63923	1	0	0.75556	-0.17786	2	0.72735	-1.27265	2	0.48826	-1.51174	1	0.65016	-0.34984
6.6941	3	2E-5	0.74414	-1.74738	1	0.71547	-0.28453	1	0.47358	-0.52642	1	0.64023	-0.35977
6.74897	1	0	0.73289	-0.2069	0	0.70378	0.70378	2	0.45934	-1.54066	0	0.63046	0.63046
6.80384	1	3.1E-4	0.72185	-0.21546	1	0.6923	-0.29191	0	0.44553	0.44553	1	0.62084	-0.37916
6.85871	1	0	0.71092	-0.20441	2	0.68099	-1.31901	0	0.43216	0.43216	0	0.61136	0.61136
6.91358	1	0.00426	0.70065	-0.20081	2	0.67011	-1.26164	0	0.41916	0.41916	2	0.60202	-1.39798
6.96845	2	0	0.68982	-0.90173	0	0.65912	0.6253	1	0.40693	-0.59307	1	0.59283	-0.40717
7.02332	1	0.05931	0.686	-0.21611	1	0.65182	-0.33032	1	0.39463	-0.60537	1	0.58378	-0.41622
7.07819	7	0	0.67231	-4.24474	0	0.64054	0.64054	2	0.38793	-1.61207	2	0.57487	-1.42513
7.13306	3	1.07602	0.7821	-1.45196	3	0.68708	-2.31292	1	0.37539	-0.62461	0	0.5661	0.5661
7.18793	2	1.79225	0.90983	-0.6414	1	0.7968	-0.2032	0	0.47134	0.47134	1	0.73549	-0.26451
7.2428	1	0.37999	0.8381	-0.09347	0	0.79304	0.79304	0	0.57347	0.57347	1	0.74677	-0.25323
7.29767	2	0	0.80416	-0.67798	0	0.77408	0.77408	0	0.55691	0.55691	1	0.70212	-0.29788
7.35254	2	0.61878	0.86099	-0.6975	0	0.79489	0.79489	1	0.53619	-0.46381	0	0.6914	0.6914
7.40741	6	0.58709	0.87878	-3.20355	2	0.82483	-1.17517	1	0.58044	-0.41956	2	0.76986	-1.23014
7.46228	3	0	0.83263	-1.32724	1	0.80246	-0.19754	0	0.58977	0.58977	1	0.72486	-0.26102
7.51715	2	0	0.82004	-0.72258	0	0.78935	0.78935	0	0.56576	0.56576	1	0.71379	-0.28621
7.57202	3	0.59141	0.87357	-1.27586	1	0.80794	-0.19206	0	0.54875	0.54875	1	0.7029	-0.2971
7.62689	2	0.60292	0.89447	-0.66332	1	0.83904	-0.16096	1	0.59069	-0.40931	1	0.78118	-0.21882
7.68176	3	0	0.8472	-1.40934	0	0.81626	0.81626	0	0.60129	0.60129	2	0.736	-1.264
7.73663	1	0.03449	0.83823	-0.11439	0	0.80546	0.80546	0	0.57673	0.57673	0	0.72477	0.72477
7.7915	3	0	0.82363	-1.45995	2	0.79184	-1.20816	0	0.56177	0.56177	0	0.7137	0.7137
7.84637	2	0.00493	0.81173	-0.79712	1	0.77923	-0.22077	0	0.54448	0.54448	1	0.70281	-0.29719
7.90124	2	0	0.79918	-0.78612	1	0.76644	-0.23356	1	0.52849	-0.47151	2	0.69208	-1.30792
7.95611	0	0.03449	0.79095	0.53058	1	0.75594	-0.24406	2	0.51253	-1.48747	1	0.68151	-0.31849
8.01097	4	0	0.77706	-2.16201	1	0.74323	-0.2436	0	0.50013	0.50013	0	0.67111	0.67111
8.06584	3	0.60294	0.83253	-1.57707	1	0.76338	-0.23662	1	0.48458	-0.51542	0	0.66086	0.66086
8.12071	3	0.59134	0.85211	-1.56282	0	0.79435	0.75359	0	0.52929	0.52929	1	0.73979	-0.26021
8.17558	2	0	0.80613	-0.86867	1	0.77242	-0.20585	1	0.54063	-0.45937	1	0.69525	-0.30475
8.23045	1	0	0.79394	-0.1349	2	0.75981	-1.17655	1	0.51806	-0.48194	0	0.68463	0.68463
8.28532	0	0.59068	0.84778	0.58349	1	0.77883	-0.22117	0	0.50248	0.50248	0	0.67418	0.67418
8.34019	2	0.60538	0.86939	-0.79946	2	0.81057	-1.1284	0	0.54575	0.54575	0	0.75291	0.75291
8.39506	2	0	0.82236	-0.83272	2	0.78822	-1.00826	0	0.55793	0.55793	0	0.70816	0.70816
8.44993	4	0.06845	0.81755	-2.19031	0	0.77986	0.64888	0	0.53463	0.53463	2	0.69735	-1.30265
8.5048	2	0	0.80136	-0.80407	0	0.7663	0.6376	1	0.52391	-0.47609	0	0.6867	0.6867
8.55967	2	0.60295	0.85646	-0.71533	2	0.78611	-1.05126	1	0.50724	-0.49276	0	0.67622	0.67622
8.61454	3	0.59982	0.87663	-1.39007	3	0.81719	-1.97442	0	0.55123	0.55123	0	0.75491	0.75491
8.66941	3	0	0.8298	-1.42073	1	0.79481	-0.1777	1	0.56267	-0.43733	0	0.71014	0.71014
8.72428	2	0.03404	0.82105	-0.83364	2	0.78433	-1.0115	0	0.53931	0.53931	0	0.6993	0.6993
8.77915	3	0	0.80673	-1.64495	0	0.77106	0.64156	1	0.52544	-0.47456	0	0.68862	0.68862
8.83402	0	0.00179	0.79474	0.6156	1	0.75861	-0.20905	1	0.50924	-0.49076	1	0.67811	-0.32189
8.88889	2	0.0018	0.78282	-1.01275	3	0.74628	-2.25372	1	0.49404	-0.50596	1	0.66776	-0.31519
8.94376	1	0	0.77089	-0.19063	1	0.73408	-0.26592	1	0.47933	-0.52067	1	0.65756	-0.30975
8.99863	0	0.03409	0.76304	0.63489	0	0.72407	0.65495	0	0.46489	0.46489	4	0.64752	-2.90333
9.0535	1	0	0.74959	-0.2265	1	0.71189	-0.26061	0	0.45389	0.45389	0	0.63764	0.55221
9.10837	1	0.60048	0.8052	-0.16208	0	0.7324	0.66248	0	0.43974	0.43974	3	0.6279	-2.14564
9.16324	3	0.60048	0.82635	-1.74279	1	0.76444	-0.23556	1	0.48558	-0.51442	1	0.70734	-0.27765
9.21811	2	0	0.78025	-0.94482	4	0.74291	-3.25709	1	0.49907	-0.50093	1	0.66328	-0.33672
9.27298	1	0.03413	0.77226	-0.15277	0	0.73329	0.73329	1	0.47761	-0.52239	0	0.65316	0.65316
9.32785	2	0	0.75867	-0.85434	1	0.72085	-0.26482	0	0.46561	0.46561	0	0.64319	0.64319
9.38272	3	0.0024	0.74747	-1.51104	0	0.70925	0.61423	2	0.45121	-1.54879	0	0.63337	0.63337
9.43759	2	0	0.73604	-0.89376	0	0.69764	0.63104	1	0.4378	-0.5622	0	0.6237	0.6237
9.49246	5	0	0.72491	-3.11058	1	0.68624	-0.29766	0	0.42461	0.42461	2	0.61418	-1.38582
9.54733	0	0.0024	0.71422	0.50503	3	0.67517	-2.20553	1	0.41184	-0.58816	2	0.6048	-1.3952
9.6022	2	0	0.70329	-0.97253	2	0.66411	-1.33589	0	0.39967	0.39967	1	0.59557	-0.40443
9.65707	1	0.03413	0.69646	-0.22765	0	0.65526	0.62163	0	0.38762	0.38762	0	0.58648	0.58648
9.71194	1	0	0.68403	-0.24475	3	0.64419	-1.88885	0	0.37894	0.37894	0	0.57752	0.57752
9.7668	2	0.60048	0.74063	-1.04786	0	0.66582	0.53384	1	0.36704	-0.63296	1	0.56871	-0.43129
9.82167	0	0.60048	0.76275	0.61156	0	0.69895	0.58156	1	0.41507	-0.58493	1	0.64904	-0.35096
9.87654	3	0	0.71761	-1.76793	1	0.67848	-0.26752	1	0.43068	-0.56932	0	0.60588	0.60588
9.93141	1	0.03414	0.71056	-0.21708	4	0.66991	-2.57948	0	0.41127	0.41127	0	0.59663	0.59663
9.98628	3	0	0.69791	-1.62782	1	0.65851	-0.26452	0	0.40127	0.40127	0	0.58752	0.58752
10.0412	1	0.00247	0.68764	-0.22087	2	0.64793	-1.04731	2	0.3888	-1.6112	1	0.57855	-0.42145
10.096	3	0	0.6771	-1.55825	2	0.63732	-1.02201	0	0.37728	0.37728	1	0.56972	-0.43028
10.1509	2	3.8E-4	0.66691	-0.91749	2	0.62693	-1.0298	0	0.36591	0.36591	1	0.56102	-0.43898
10.2058	3	0	0.65681	-1.57186	3	0.61669	-1.9109	1	0.35493	-0.64507	0	0.55246	0.55246
10.2606	2	0.00281	0.64719	-0.86526	0	0.60678	0.4865	0	0.34426	0.34426	1	0.54403	-0.45597
10.3155	2	0	0.63725	-0.89213	1	0.59683	-0.33545	1	0.33415	-0.66585	0	0.53572	0.53572
10.3704	2	0.03899	0.63197	-0.9177	1	0.58936	-0.35562	1	0.32406	-0.67594	2	0.52754	-1.47246
10.4252	2	0	0.62023	-0.8825	2	0.57932	-1.28505	0	0.31772	0.31772	0	0.51949	0.51949
10.4801	5	0.66807	0.68533	-2.96956	1	0.60595	-0.35643	2	0.30759	-1.69241	0	0.51156	0.51156
10.535	0	0.34825	0.67639	0.4428	1	0.62462	-0.33955	0	0.3633	0.3633	0	0.59277	0.59277
10.5899	2	1.06394	0.76528	-0.78973	1	0.6624	-0.32028	1	0.35747	-0.64253	2	0.55046	-1.37515
10.6447	4	1.27098	0.83583	-2.02381	1	0.746	-0.24097	1	0.45248	-0.54752	2	0.7201	-1.2799
10.6996	0	0	0.75204	0.50449	3	0.71488	-2.16786	1	0.50218	-0.49782	1	0.6426	-0.3574
10.7545	4	0.69554	0.81821	-2.24986	0	0.74197	0.7039	0	0.47324	0.47324	1	0.63279	-0.36721
10.8093	3	0.49073	0.82161	-1.46131	0	0.76596	0.76596	0	0.52509	0.52509	2	0.71215	-1.28785
10.8642	2	0.34155	0.81979	-0.73827	1	0.76079	-0.23921	1	0.52698	-0.47302	0	0.66802	0.66802
10.9191	0	1.26808	0.92964	0.60859	2	0.83201	-1.10805	0	0.54493	0.54493	0	0.74684	0.74684
10.9739	3	0.33614	0.88207	-1.27076	1	0.83507	-0.16493	1	0.62442	-0.37558	0	0.7912	0.7912
11.0288	2	0.51238	0.90704	-0.71551	0	0.84118	0.84118	1	0.60579	-0.39421	1	0.74587	-0.25413
11.0837	5	0.61435	0.93313	-2.60118	1	0.87381	-0.12619	2	0.63764	-1.36236	1	0.8235	-0.1765
11.1385	2	0	0.88463	-0.69771	2	0.85027	-1.14973	2	0.64835	-1.35165	2	0.77768	-1.22232
11.1934	4	0	0.87126	-1.87725	0	0.83638	0.83638	0	0.62227	0.62227	1	0.76581	-0.23419
11.2483	0	0.66094	0.93176	0.57059	0	0.85825	0.85825	1	0.60355	-0.39645	0	0.75412	0.75412
11.3032	4	0.34155	0.91875	-1.81285	0	0.87255	0.87255	0	0.64992	0.64992	0	0.83162	0.78895
11.358	3	1.09786	1.00813	-1.246	0	0.90831	0.90831	1	0.63491	-0.36509	3	0.78567	-1.84243
11.4129	2	1.14202	1.05874	-0.60203	1	0.98001	-0.01999	0	0.72466	0.72466	0	0.95172	0.79188
11.4678	2	0.20907	1.00211	-0.65327	0	0.95172	0.95172	0	0.75442	0.75442	0	0.87068	0.75403
11.5226	4	1.2717	1.11702	-1.88735	3	1.02241	-1.97759	0	0.7495	0.7495	3	0.94641	-1.70869
11.5775	2	0.45412	1.07957	-0.61745	1	1.02895	0.02895	0	0.82399	0.82399	4	0.98772	-2.50637
11.6324	1	0	1.03782	0.02476	0	1.00505	1.00505	1	0.8099	-0.1901	2	0.93939	-1.00618
11.6872	3	0.02363	1.02477	-1.29309	0	0.99037	0.99037	1	0.7808	-0.2192	0	0.92505	0.83674
11.7421	0	0	1.00796	0.65986	0	0.97387	0.97387	0	0.75896	0.75896	1	0.91093	-0.07714
11.797	3	0.0017	0.99291	-1.38138	0	0.95809	0.95809	0	0.73586	0.73586	0	0.89702	0.89702
11.8519	4	0	0.9778	-1.933	1	0.94242	-0.05758	0	0.71385	0.71385	0	0.88333	0.88333
11.9067	2	1.2E-4	0.96304	-0.59869	1	0.92703	-0.07297	1	0.69236	-0.30764	1	0.86984	-0.13016
11.9616	2	0	0.94847	-0.61866	2	0.91189	-1.08811	2	0.67155	-1.32845	1	0.85656	-0.14344
12.0165	2	2E-5	0.93414	-0.61538	1	0.89699	-0.10301	1	0.65136	-0.34864	0	0.84349	0.84349
12.0713	5	0	0.92002	-2.40045	1	0.88234	-0.11766	1	0.63177	-0.36823	3	0.83061	-2.16939
12.1262	6	1.7E-4	0.90613	-3.11935	1	0.86794	-0.13206	0	0.61278	0.61278	1	0.81793	-0.18207
12.1811	2	0	0.89242	-0.67825	1	0.85376	-0.14624	0	0.59436	0.59436	0	0.80544	0.80544
12.2359	1	0.00242	0.8792	-0.07398	0	0.83995	0.83995	2	0.57649	-1.42351	0	0.79315	0.79315
12.2908	2	0	0.86577	-0.70951	0	0.8262	0.8262	0	0.55936	0.55936	1	0.78104	-0.21896
12.3457	2	0.03366	0.85644	-0.74864	0	0.81467	0.81467	0	0.54251	0.54251	1	0.76912	-0.23088
12.4005	2	0	0.84161	-0.89729	2	0.80101	-1.19899	0	0.52913	0.52913	0	0.75737	0.75737
12.4554	2	0.59378	0.89508	-0.88591	1	0.81968	-0.18032	1	0.51272	-0.48728	0	0.74581	0.74581
12.5103	1	0.62547	0.91803	-0.06349	1	0.85182	-0.14818	0	0.55579	0.55579	3	0.82344	-2.17656
12.5652	3	0	0.86914	-1.70849	1	0.8286	-0.1714	0	0.56945	0.56945	1	0.77762	-0.22238
12.62	0	0.50721	0.91254	0.75928	0	0.84229	0.84229	0	0.5455	0.5455	0	0.76575	0.76575
12.6749	1	1.19182	1.00321	0.00249	0	0.9049	0.9049	0	0.57941	0.57941	0	0.84308	0.76259
