t	chcl3_dec	chcl3_irf	chcl3_fit	chcl3_res	etoh_dec	etoh_irf	etoh_fit	etoh_res	h2o_dec	h2o_irf	h2o_fit	h2o_res	iproh_dec	iproh_irf	iproh_fit	iproh_res
5.10288	4	0.47543	0.91653	-1.85008	2	0.33385	0.87335	-1.12665	1	0.46428	0.72491	-0.27509	0	0	0.75987	0.75987
5.15775	1	0.63399	0.94673	-0.03262	1	0.76105	0.90723	-0.09277	0	0.47543	0.73551	0.73551	1	1	0.83728	-0.16272
5.21262	5	0	0.89693	-2.56665	2	0	0.88291	-1.11709	0	0.63399	0.7596	0.7596	3	0	0.79125	-2.09541
5.26749	4	0.03654	0.88745	-1.9908	0	0.03913	0.87118	0.87118	1	0	0.72347	-0.27653	1	0	0.77917	-0.22083
5.32236	1	0	0.87199	-0.08811	0	0	0.85646	0.85646	0	0.03654	0.70496	0.70496	0	0	0.76727	0.76727
5.37723	2	0.00258	0.85909	-0.80674	3	0.00277	0.84266	-2.15734	0	0	0.683	0.683	1	0	0.75556	-0.2319
5.4321	0	0	0.84596	0.59818	0	0	0.82886	0.82886	1	0.00258	0.66269	-0.33731	2	0	0.74403	-1.25597
5.48697	1	0	0.83317	-0.12922	1	0	0.81532	-0.18468	0	0	0.64272	0.64272	0	0	0.73267	0.73267
5.54184	1	0.0024	0.82085	-0.14907	0	0.00203	0.80214	0.80214	0	0	0.62339	0.62339	1	0	0.72148	-0.27852
5.59671	3	0	0.8083	-1.75727	0	0	0.78901	0.78901	2	0.0024	0.60486	-1.39514	1	0	0.71047	-0.28953
5.65158	1	0.03416	0.79989	-0.16044	1	0.02901	0.77812	-0.22188	0	0	0.58663	0.58663	0	0	0.69962	0.69962
5.70645	2	0	0.78589	-0.94045	2	0	0.76505	-1.23495	1	0.03416	0.57202	-0.42798	1	0	0.68894	-0.31106
5.76132	2	0.60083	0.84099	-0.89777	2	0.46805	0.78472	-1.15292	1	0	0.55411	-0.44589	0	0	0.67842	0.67842
5.81619	2	0.59917	0.86143	-0.88193	0	0.72405	0.81582	0.77396	0	0.60083	0.59068	0.59068	0	1	0.75709	0.75709
5.87106	2	0	0.81487	-0.95022	0	0	0.79346	0.75274	0	0.59917	0.61342	0.61342	2	0	0.71227	-1.28773
5.92593	1	0.01584	0.80432	-0.1569	3	0.02102	0.78195	-2.10423	0	0	0.58241	0.58241	0	0	0.7014	0.7014
5.9808	1	0.05913	0.79786	-0.14708	2	0.04819	0.77222	-1.22778	1	0.01584	0.56631	-0.43369	0	0	0.69069	0.69069
6.03567	1	0	0.78249	-0.14591	0	0	0.75901	0.75901	0	0.05913	0.55419	0.55419	0	0	0.68015	0.68015
6.09054	2	1.20037	0.90448	-0.7349	0	0.93486	0.81086	0.76925	0	0	0.53629	0.53629	1	0	0.66977	-0.33023
6.14541	1	1.20109	0.9575	-0.02782	1	1.45047	0.88564	-0.10849	1	1.20037	0.62652	-0.37348	2	2	0.83758	-1.16242
6.20027	5	0	0.87578	-2.52556	0	0	0.85307	0.85307	2	1.20109	0.68894	-1.31106	0	0	0.75828	0.75828
6.25514	5	0.0683	0.87016	-2.4779	2	0.07314	0.84417	-1.15583	0	0	0.64305	0.64305	0	0	0.74671	0.74671
6.31001	2	0	0.85318	-0.66212	2	0	0.82946	-1.17054	1	0.0683	0.62977	-0.37023	0	0	0.73531	0.73531
6.36488	3	0.0049	0.84083	-1.2466	0	0.00525	0.81627	0.81627	0	0	0.6094	0.6094	1	0	0.72408	-0.27592
6.41975	4	0	0.82785	-1.83144	0	0	0.80288	0.80288	0	0.0049	0.59152	0.59152	0	0	0.71303	0.71303
6.47462	2	3.5E-4	0.81537	-0.69697	2	3.8E-4	0.78979	-1.21021	0	0	0.57363	0.57363	0	0	0.70214	0.70214
6.52949	3	0	0.80303	-1.40519	0	0	0.77688	0.77688	0	3.5E-4	0.55642	0.55642	0	0	0.69142	0.69142
6.58436	2	3E-5	0.79089	-0.75635	0	3E-5	0.76419	0.76419	1	0	0.53968	-0.46032	1	0	0.68087	-0.31913
6.63923	1	0	0.77893	-0.14472	0	0	0.75171	0.75171	1	3E-5	0.52346	-0.47654	0	0	0.67047	0.67047
6.6941	4	0	0.76716	-2.28596	1	0	0.73943	-0.26057	1	0	0.50772	-0.49228	0	0	0.66024	0.66024
6.74897	1	0	0.75556	-0.17785	2	0	0.72735	-1.27265	2	0	0.49246	-1.50754	1	0	0.65016	-0.34984
