t	000dec	irf	000fit	000res	025dec	025fit	025res	050dec	050fit	050res	075dec	075fit	075res	100dec	100fit	100res
24.8011	8623.00	0.00000	8425.76	-2.13707	8022.00	7992.50	-0.328640	7680.00	7561.28	-1.35722	7364.00	7249.38	-1.34030	6474.00	6353.71	-1.49739
24.8560	8434.00	0.00000	8396.00	-0.412940	8008.00	7958.85	-0.550530	7581.00	7524.04	-0.653060	7162.00	7205.98	0.516800	6411.00	6301.43	-1.37102
24.9108	8453.00	0.00000	8366.36	-0.941050	7849.00	7925.35	0.854970	7449.00	7486.99	0.436240	7150.00	7162.86	0.151270	6255.00	6249.60	-0.0675900
24.9657	8481.00	0.00000	8336.83	-1.57087	8043.00	7892.02	-1.69469	7690.00	7450.14	-2.76511	7071.00	7120.02	0.578350	6390.00	6198.23	-2.41128
25.0206	8343.00	0.00000	8307.43	-0.388420	7899.00	7858.84	-0.452160	7453.00	7413.49	-0.457470	7115.00	7077.46	-0.444460	6012.00	6147.31	1.71100
25.0754	8280.00	0.00000	8278.14	-0.0203100	7605.00	7825.81	2.48696	7330.00	7377.05	0.545090	6946.00	7035.17	1.05834	6153.00	6096.83	-0.713140
25.1303	8575.00	0.00000	8248.98	-3.57666	8067.00	7792.94	-3.09630	7572.00	7340.79	-2.68958	7347.00	6993.16	-4.21816	6392.00	6046.79	-4.40675
25.1852	8230.00	0.00000	8219.93	-0.110910	7837.00	7760.23	-0.869320	7361.00	7304.73	-0.656120	7086.00	6951.41	-1.60966	6229.00	5997.18	-2.97036
25.2401	8063.00	0.00000	8190.99	1.41159	7681.00	7727.66	0.529170	7000.00	7268.87	3.14346	6969.00	6909.94	-0.706160	5967.00	5948.01	-0.243800
25.2949	8326.00	0.00000	8162.18	-1.81155	7961.00	7695.25	-3.02304	7603.00	7233.20	-4.33881	7045.00	6868.74	-2.11315	6033.00	5899.27	-1.72288
25.3498	8029.00	0.00000	8133.48	1.15772	7566.00	7663.00	1.10322	7051.00	7197.72	1.72721	6602.00	6827.80	2.71229	5800.00	5850.95	0.658920
25.4047	7905.00	0.00000	8104.89	2.21954	7535.00	7630.89	1.09306	7128.00	7162.43	0.406770	6736.00	6787.12	0.616840	5841.00	5803.06	-0.493560
25.4595	8245.00	0.00000	8076.42	-1.87258	7839.00	7598.93	-2.74011	7345.00	7127.33	-2.57517	7104.00	6746.71	-4.32411	6164.00	5755.58	-5.34442
25.5144	7948.00	0.00000	8048.06	1.11314	7457.00	7567.12	1.26088	6989.00	7092.42	1.22589	6784.00	6706.56	-0.942050	5645.00	5708.51	0.836580
25.5693	7976.00	0.00000	8019.82	0.487070	7627.00	7535.46	-1.04929	6893.00	7057.70	1.96057	6702.00	6666.66	-0.430830	5744.00	5661.85	-1.08548
25.6241	8276.00	0.00000	7991.69	-3.16353	7757.00	7503.94	-2.90602	7110.00	7023.16	-1.03558	6790.00	6627.02	-1.98934	5770.00	5615.60	-2.04826
25.6790	8172.00	0.00000	7963.67	-2.32179	7662.00	7472.58	-2.17586	7183.00	6988.81	-2.32168	6714.00	6587.64	-1.54631	5597.00	5569.75	-0.362660
25.7339	7852.00	0.00000	7935.76	0.935260	7244.00	7441.35	2.27257	6753.00	6954.64	2.41882	6346.00	6548.51	2.48703	5275.00	5524.30	3.33947
25.7888	8448.00	0.00000	7907.97	-6.03480	7813.00	7410.28	-4.64628	7059.00	6920.65	-1.66178	6774.00	6509.63	-3.25406	5708.00	5479.25	-3.07384
25.8436	7869.00	0.00000	7880.28	0.126420	7312.00	7379.34	0.779470	6828.00	6886.85	0.708220	6455.00	6471.00	0.197570	5395.00	5434.59	0.535160
25.8985	7673.00	0.00000	7852.71	2.01672	7499.00	7348.56	-1.74444	6806.00	6853.22	0.570130	6430.00	6432.62	0.0324700	5498.00	5390.31	-1.46146
25.9534	7980.00	0.00000	7825.24	-1.74051	7503.00	7317.91	-2.15259	6922.00	6819.78	-1.23778	6678.00	6394.49	-3.52310	5527.00	5346.42	-2.45885
26.0082	7824.00	0.00000	7797.88	-0.294550	7198.00	7287.40	1.04212	6825.00	6786.52	-0.466840	6514.00	6356.60	-1.96015	5329.00	5302.91	-0.356510
26.0631	7600.00	0.00000	7770.63	1.93283	7193.00	7257.04	0.749150	6654.00	6753.43	1.20953	6355.00	6318.95	-0.450810	5146.00	5259.78	1.56258
26.1180	8045.00	0.00000	7743.49	-3.42169	7516.00	7226.81	-3.38840	6719.00	6720.52	0.0184700	6457.00	6281.55	-2.20230	5391.00	5217.02	-2.39955
26.1728	7863.00	0.00000	7716.46	-1.66546	7264.00	7196.73	-0.791910	6813.00	6687.78	-1.53004	6273.00	6244.38	-0.360390	5273.00	5174.63	-1.36569
26.2277	7453.00	0.00000	7689.53	2.69463	6941.00	7166.78	2.66716	6536.00	6655.22	1.45961	6098.00	6207.45	1.38561	4931.00	5132.61	2.81527
